experiment	commit	metric	status	description
34	3a6f207	67.00	discard	lowering the private-direct pending cap to two reduced drop pressure but cut progression too sharply to beat the current best
35	e2ea061	25.00	discard	raising the private-direct pending cap to four destabilized the runtime probe and is not viable on the current best base
36	2d98c56	72.79	keep	loosening the hevc low-latency burst window cut drop pressure sharply enough to outweigh the lower frame progression on the current best base
37	ee8e3b6	71.21	discard	raising the private iosurface pool to six on top of the looser burst window recovered a little progression but reintroduced too much callback stall
38	93d340e	69.21	discard	lowering the private-direct pending cap to two on top of the looser burst window still made callback spikes worse than the current best
39	5f14bf2	66.38	discard	widening the hevc low-latency burst window beyond the current best only made callback spikes worse without recovering progression
40	936620c	43.95	discard	trimming the quarter-second low-latency burst under the current best setup sharply regressed startup progression and callback latency
41	b866b42	25.00	discard	setting the hevc reference buffer count to zero made the encode path dramatically less stable on the current best base
42	12eebd7	25.00	discard	switching the high-refresh raw skylight bootstrap from the synthetic 240 hz queue-two candidate to baseline queue-two collapsed startup latency and drop pressure on the current best base
43	32f1211	25.00	discard	switching the high-refresh raw skylight bootstrap to the queue-one synthetic 240 hz candidate still collapsed startup latency and drop pressure on the current best base
44	a49e5ed	30.17	discard	raising the hevc low-latency bitrate ceiling relieved some startup and drop pressure but left progression and callback latency far below the current best
45	448e338	25.00	discard	raising the hevc max-frame-delay count to two reduced some pressure but still collapsed runtime score because callback stalls stayed far outside the low-latency target
46	c91527b	25.00	discard	reusing cached encoded frames for synthetic replay did not relieve the raw skylight steady-state bottleneck and still collapsed startup latency and drop pressure on the current best base
47	d284ecc	25.00	discard	raising the hevc reference buffer count to two increased encoder state without relieving the raw skylight stall pattern on the current best base
48	b0c178c	25.00	discard	serializing callback-only processing removed fan-out ahead of the encoder queue but still worsened progression and callback stall pressure on the current best base
49	cfb49bc	41.42	discard	enabling open gop improved startup and drop pressure somewhat but still fell far short of the current best because callback latency stayed outside the low-latency target
50	b218a1e	47.61	discard	raising the high-refresh raw skylight pending depth into a two-to-three frame range improved startup and drop pressure but still failed to recover progression enough to beat the best burst-window setup
51	f35ba4d	25.00	discard	trimming the high-refresh raw skylight pending depth against the current clean base broke private-direct warmup outright for both hevc and prores-proxy so the runtime probe never reached steady-state delivery
52	07ab67d	25.00	discard	forcing high-refresh prores-proxy onto raw skylight changed the failure mode to an sldisplaystream construction nil while hevc still failed private-direct warmup so the backend preference did not improve runtime delivery
53	fbe1437	25.00	discard	revalidating the shallower two-to-three frame high-refresh skylight pending depth sequentially confirmed that it worsens startup latency callback spikes and drop pressure against the current codec-aware baseline
54	9436b0d	25.00	discard	disabling the fixed high-refresh skylight bootstrap and forcing startup benchmarking only increased startup latency callback spikes and drop pressure on the current codec-aware sequential baseline
55	45ec221	25.00	discard	disabling the extra 120 hz timer replay while leaving callback-driven idle replay intact increased starvation and worsened startup latency callback spikes and drop pressure on the current baseline
56	4e9a8ff	51.23	keep	lowering the hevc low-latency bitrate ceiling to 200 mbps reduced startup latency callback spikes and drop pressure enough to beat the median-filtered sequential baseline without sacrificing resolution frame rate or hdr delivery
57	99984da	46.33	discard	lowering the hevc low-latency bitrate ceiling further to 180 mbps gave back most of the gain from the 200 mbps keep and fell back near the current median baseline
58	46f77f5	34.95	discard	tightening the one-second burst window on top of the 200 mbps keep collapsed most of the gain from that bitrate cap and regressed back toward the unstable baseline
59	5d23719	84.75	keep	disabling hevc low-latency rate control on top of the 200 mbps cap lifted both codecs into the working 120 hz path with hevc startup latency callback spikes and drops collapsing far enough to raise the combined suite score sharply
60	2e0ca21	75.29	discard	switching ProRes Proxy to a raw 10-bit 4:2:2 source path lifted progression hard but triggered enough queue saturation and resync churn to drag the worst-codec suite score below the current keep
61	42e5336	63.17	discard	adding extra callback-only high-refresh pending headroom on top of the raw ProRes YUV path increased queue churn further and regressed the combined suite score well below the current keep
62	b45a52f	88.54	keep	feeding ProRes Proxy from a raw 10-bit 4:2:2 source and allowing direct submission for matching YUV frames cut the extra staging overhead enough to raise the worst-codec suite score above the prior hevc-only keep
63	18be30d	88.75	keep	lowering high-refresh HEVC max frame delay to zero on top of the direct YUV ProRes keep shaved a little more hevc callback latency and nudged the combined suite score to a new best
64	8554e4ff	25.00	discard	adding a tiny runtime-probe stimulus made both codecs reveal real dynamic invalidation weakness but overwhelmed the current hevc path badly enough that the official suite score collapsed instead of improving
65	e699362	88.54	discard	releasing direct hevc pending slots immediately after submit did not beat the current best combined suite score once measured on the stable no-stimulus metric
66	c520609	88.54	discard	disabling temporal compression for high-refresh hevc failed to lift hevc progression on the official suite and gave back a little prores latency headroom versus the current keep
67	3baaa74	88.96	keep	forcing the HEVC high-refresh bootstrap onto baseline-q1 improved hevc progression a bit without destabilizing prores and lifted the combined suite score above the prior best
68	452b0ad	88.98	keep	driving the high-refresh HEVC synthetic idle replay timer at 240 hz nudged hevc startup and max callback latency just enough to set a new combined suite best
69	5f25cac	88.75	discard	moving hevc high-refresh bootstrap back to min-frame-240hz-q1 still lost to the current best because progression did not improve enough to offset the slight combined regression
70	a94f662	79.19	discard	checking the hevc replay timer at 300 hz while keeping the emission gate at 240 hz helped hevc a bit but destabilized prores enough that the suite score collapsed
71	4e714e5	89.05	keep	lowering the hevc low-latency bitrate ceiling slightly from 200 mbps to 192 mbps eased encoder pressure enough to set a small new best without hurting prores
72	a17f515	88.58	discard	pushing the hevc low-latency bitrate ceiling down to 188 mbps over-corrected and dragged the combined suite below the 192 mbps keep
73	251d0cb	88.12	discard	raising the hevc low-latency bitrate ceiling back up to 196 mbps gave back too much combined suite score versus the 192 mbps keep
74	592ae63	87.25	discard	tightening only the hevc replay timer leeway did not help the limiting hevc path enough and regressed the combined suite score badly once prores noise was accounted for
75	337fbe7	88.94	discard	lowering the hevc target quality to 0.34 did not beat the 192 mbps keep even though it nudged prores forward because the limiting hevc path stayed flat
76	070e126	25.00	crash	forcing zero lookahead for high-refresh hevc sessions caused the hevc runtime probe path to die outright so that direction was discarded immediately
77	9f089f0	88.33	discard	pinning the quality property for high-refresh hevc sessions reduced hevc progression and failed to beat the 192 mbps keep
78	ea2da86	88.33	discard	raising the hevc idle replay ceiling from 240 hz to 300 hz reduced hevc progression and failed to beat the 192 mbps keep
79	c781853	89.17	keep	raising the hevc frame-rate hints to 240 hz improved the limiting hevc progression path enough to produce a new combined suite best
80	031ddd7	87.14	discard	pushing the hevc frame-rate hints past 240 hz to 300 hz regressed the combined suite badly enough that the 240 hz keep remains the better pacing hint
81	7b48086	87.31	discard	adding a latest-frame mailbox for queued hevc work did not beat the current best and regressed the combined suite despite the larger structural change
82	7d351b1	89.30	keep	forcing high-refresh callback-only hevc sessions onto a pending-frame limit of two reduced stale source admission enough to set a new combined suite best
83	0e36ecd	87.51	discard	forcing the high-refresh callback-only hevc pending depth all the way down to one over-tightened source admission and lost to the depth-two keep
84	fcec0dd	88.96	discard	forcing high-refresh hevc sessions onto the private iosurface backend did not beat the current skylight-based keep despite the structural backend change
85	419982d	85.12	discard	shortening the hevc keyframe interval to half a second hurt the combined suite badly enough that the current keep remains better
86	de8df70	86.08	discard	serializing the high-refresh hevc processing queue regressed both the limiting hevc path and prores stability so the concurrent handoff keep remains better
87	5c81bc4	88.75	discard	making only the high-refresh hevc encode handoff asynchronous improved prores but cost enough hevc progression that the combined suite stayed below the pending-depth keep
88	aacec70	59.34	discard	enabling VideoToolbox low-latency rate control for 120 hz hevc destabilized the encoder badly enough to crater startup and callback latency so that path is unusable
89	381dddd	88.75	discard	dropping the high-refresh hevc reference buffer count to zero did not move the limiting hevc progression path and gave back enough prores score to stay below the keep
90	2f9527a	87.48	discard	giving high-refresh hevc one frame of VideoToolbox delay tolerance failed to improve the limiting hevc progression path and regressed prores enough to lower the suite score
91	3c0b380	86.81	discard	a saturation-only latest-frame overflow for high-refresh hevc improved hevc latency a little but did not lift progression and regressed prores enough to lose to the pending-depth keep
92	1132d15	86.44	discard	pruning stale queued hevc work only when saturation and a newer display time existed still reduced hevc progression and failed to preserve enough prores score to beat the keep
93	91ebfe0	89.17	discard	preferring baseline-q2 for the hevc high-refresh bootstrap improved hevc progression but not enough to beat the baseline-q1 keep once the combined suite score was measured
94	67d51d4	89.17	discard	preferring the 240 hz q2 hevc bootstrap preserved the q2 progression gain and helped prores further but still did not clear the current baseline-q1 keep on the combined suite
95	688e9a5	88.96	discard	preferring baseline-q3 for the hevc high-refresh bootstrap added more queue headroom than the current best stack could afford and landed below both q1 and q2 variants
96	16dbf73	87.42	discard	splitting SkyLight replay from HEVC re-encode reduced HEVC progression and destabilized ProRes despite the larger structural change
97	473084f	87.93	discard	copying replay HEVC sample buffers with fresh timing still reduced HEVC progression and left ProRes below the kept high-refresh stack
98	7dd88d14+fcb4f3b	88.54	discard	driving partial hdr overlay regions from SkyLight reduced dirty rects preserved partial HDR but did not improve the limiting HEVC progression enough to beat the kept stack
99	d79daf5	91.09	keep	coalescing small SkyLight dirty updates at the source sharply improved HEVC progression and startup while also lifting ProRes enough to establish a new best
100	e9c5ff4	87.47	discard	broadening reduced-dirty coalescing to 24 percent over-coalesced high-refresh HEVC, collapsed progression, and also hurt ProRes stability
101	e2c742b	90.29	discard	tightening reduced-dirty coalescing to 12 percent avoided the worst over-coalescing but still fell short of the 18 percent producer sweet spot
102	e7a8021	89.04	discard	shortening the small-dirty emission interval let partial updates through too quickly and gave back the producer-side backpressure win
103	a5f3cb2	88.96	discard	lengthening the small-dirty emission interval over-absorbed tiny updates and pushed both HEVC progression and startup below the new best producer cadence
104	95a1f6b	91.36	keep	gating small reduced-dirty coalescing on consecutive bursts preserved meaningful partial updates while still cutting the HEVC producer flood path and established a new best
105	d7bf5b2	89.07	discard	broadening the burst-coalescing threshold to 24 percent still overreached and gave back too much stability despite preserving HEVC progression
106	cb5a30f	89.99	discard	keeping the small-dirty burst gate alive across replay emissions over-suppressed updates and lost too much HEVC progression
107	716fe12	89.60	discard	adding region clustering to the burst gate under-coalesced real partial hdr traffic and gave back too much HEVC progression
108	bd6b06e	89.15	discard	delaying burst coalescing until the third small update reopened too much producer churn and lost both HEVC progression and ProRes stability
109	5d2cb5c	89.04	discard	tightening the burst dirty threshold to 15 percent preserved more medium partial updates but lost too much HEVC progression to beat the 18 percent sweet spot
110	c2ed506	86.41	discard	adding a max-dimension guard to the burst dirty classifier under-coalesced real traffic and heavily regressed ProRes stability
111	c38cee9	83.74	discard	shortening the burst dirty coalescing window under the new burst gate reopened producer churn and severely regressed both HEVC and ProRes
112	faf284f	86.70	discard	lengthening the burst dirty coalescing window over-suppressed repeated partial updates even with the first-update pass-through gate in place
113	f36dc4f+1e6b9f25	89.19	discard	propagating zero-copy per-frame partial hdr dirty rects into the overlay transport was architecturally correct but did not improve the host-stream score enough to beat the burst-gated source keep
114	6e388d00	85.71	discard	treating source-side capture queue saturation as fully recoverable producer backpressure removed too much ingress recovery and regressed both hevc progression and prores stability
115	35f0ffa9	87.82	discard	collapsing repeated source-saturation resyncs into a single burst recovery reduced self-inflicted churn but still left both hevc and prores below the burst-gated source best
116	514189f	25.00	discard	allowing one extra startup-only pending hevc frame destabilized the hevc probe and crashed the runtime path before it could improve startup burst saturation
117	a61f570+71fdb20	87.51	discard	deferring one startup-only overflowed hevc source frame into the next available processor slot removed an observed source drop but still regressed the combined hevc and prores host-stream score
118	2a29caf1	84.41	discard	adding one extra 120 hz hevc bridge forwarding slot increased queue slack but still worsened both hevc startup and the combined host-stream score
119	a4417d6	86.81	discard	suppressing startup-only hevc saturation events reduced reported drops but did not beat the burst-gated source best once the full hevc plus prores suite was measured
120	65689fd	90.13	keep	prewarming the VideoToolbox session before source start beat the downloads checkout baseline once the real baseline was remeasured and established a new local best
121	c307f7f	88.93	discard	processing the first callback-only high-refresh frames inline removed one ingress queue hop but further regressed HEVC startup and combined score
122	ed30fff	88.00	discard	submitting the first staged high-refresh frames synchronously after GPU completion worsened both HEVC and ProRes startup and closed the startup submit-hop direction
123	197922e	88.62	discard	prewarming startup staging slots did not recover HEVC progression and suggests the limiting startup cost is not lazy staged slot allocation
124	9923be6	85.45	discard	restoring the full historical measured stack did not reproduce on the downloads checkout because the old ProRes default path regressed badly under the current repo and host combination
125	b2dd590	88.76	discard	restoring only the historical HEVC and source-freshness keep stack still did not reproduce on the downloads checkout so the old measured baseline cannot be trusted here
126	942d9cb	88.60	baseline	remeasured the clean downloads checkout baseline after discarding the non-reproducible historical stack and used it to realign keep-discard decisions
127	091cb68	84.95	discard	plumbing reduced-dirty metadata and burst-gating tiny fresh updates directly into the current downloads baseline regressed ProRes badly and closed the source-freshness path in its current form
128	949a3ac	88.13	discard	reapplying the historical HEVC-only 192 Mbps 240 Hz and pending-depth retune on top of the current downloads best still regressed both startup and combined score
129	b453d0f	87.25	discard	prewarming startup staging slots only for ProRes regressed ProRes progression and showed that the current best is not limited by lazy ProRes slot allocation
130	1511d5b	88.62	discard	raising the high-refresh HEVC frame-rate hint alone on top of the current downloads best did not improve the combined host-stream score
131	95e129f	87.83	discard	clamping callback-only high-refresh HEVC pending depth to two frames on top of the current downloads best still regressed the combined score
132	8491167	89.12	discard	lowering the HEVC bitrate ceiling alone improved over the clean baseline but still did not beat the current downloads best session-prewarm path
133	9558862	88.62	discard	restricting the current prewarm path to HEVC only removed too much benefit so the downloads best is not a pure HEVC prewarm win
134	c708c3b	85.86	discard	restricting the current prewarm path to ProRes only collapsed the combined score so the downloads best depends on keeping prewarm enabled for both codecs
135	96b3b43	86.68	discard	setting high-refresh HEVC max frame delay to zero on top of the current downloads best regressed both HEVC and ProRes and closed that latency knob
136	c3876ee	88.42	discard	replacing the high-refresh encoded bootstrap default with baseline-q2 lost HEVC progression and confirmed that the current downloads best still prefers the request120-like queue-2 source bootstrap
137	d1599fc	87.50	discard	disabling the HEVC low-latency VideoToolbox encoder spec regressed both codecs on the current downloads best and closed that old-tree regression lead here
138	ff3bf37	88.55	discard	disabling high-refresh HEVC temporal compression did not improve progression over the current session-prewarm best and kept the remaining ceiling upstream of inter-frame dependency choices
139	2623aa0	88.62	discard	disabling high-refresh HEVC data-rate limits lifted ProRes modestly but left HEVC unchanged and failed to beat the current session-prewarm best
140	751a558	88.62	discard	raising callback-only high-refresh pending capacity from four to five lifted ProRes slightly but left HEVC unchanged and did not beat the current session-prewarm best
141	1979433	88.13	discard	releasing staged source frames immediately after Metal completion reduced source hold time but still regressed the combined score versus the current session-prewarm best
142	a77264be+7332271	66.06	baseline	corrected the Lumen macOS workspace to use the local /Users/skyline23/Downloads/MacDisplayKit package path and re-established the first valid baseline for the active checkout
143	a7ddf02	85.04	keep	reverting the local VideoToolbox prewarm hook removed the corrected-setup startup collapse and established the first real local-MacDisplayKit best
144	79de19e	84.83	discard	raising the high-refresh HEVC ExpectedFrameRate and ExpectedDuration hints to 240 Hz improved ProRes but regressed HEVC enough to miss the corrected local best
145	81ca617	83.04	discard	lowering the corrected-setup HEVC bitrate ceiling to 192 Mbps lifted ProRes sharply but regressed HEVC enough to miss the new local best
146	f8c392d	83.04	discard	disabling corrected-setup HEVC data-rate limits regressed HEVC further and confirmed that the remaining local bottleneck is not relieved by removing VideoToolbox burst pacing clamps
147	e94b48b+12cb6a4	82.83	discard	gating repeated small reduced-dirty fresh frames improved ProRes but regressed HEVC enough to show that source freshness is not the remaining corrected-setup win in this form
148	cf4647f	83.04	discard	preferring baseline-q2 over the request120-like queue-depth-2 bootstrap regressed the corrected local path and closed the raw-source default direction
149	5c896bb	84.83	discard	serializing the outer processing queue reduced fan-out overhead but still traded away too much HEVC progression to beat the corrected local best
150	a03fe81	90.00	keep	removing the extra processingQueue handoff and calling processor.process directly from the source callback established the new corrected local-package best
151	429e082	84.83	discard	queue the encode submission asynchronously instead of blocking the source callback on encodeQueue.sync; this hurt HEVC startup and latency badly under the corrected local-package setup
152	91bfcc8	90.21	keep	inline staged VideoToolbox submission directly from the Metal completion handler instead of hopping through submissionQueue after the staged copy; this improved the corrected local-package best
153	3cf2e4b+35854c5	90.00	discard	move VideoToolbox processing statistics bookkeeping off the synchronous outputQueue hot path; this did not beat the corrected local-package best and slightly hurt HEVC startup
154	5f495db	89.79	discard	release staged source frames immediately after the detached Metal copy completes instead of after VideoToolbox submission; this reduced the corrected local-package score
155	559d488	90.00	discard	deliver encoded frames directly from the VideoToolbox callback before the serial stats queue; this did not improve the corrected local-package best
156	727cd93	89.58	discard	reuse the already-copied HEVC payload when checking existing HDR static metadata before augmentation; this regressed the corrected local-package best
157	d8081b7	89.79	discard	avoid rebuilding an equivalent MDKCaptureFrame before dispatching onto the encode queue; this regressed the corrected local-package best
158	01c5cef	90.21	discard	remove per-frame source cadence and timing tracker recording from the encoded capture source callback hot path; this only matched the corrected local-package best
159	ce54405	NA	crash	synchronize staged slot release through encodeQueue from the VideoToolbox output callback; this caused the corrected local-package metric run to hang and was discarded
160	bf66c88	90.00	discard	raise the VideoToolbox encode, submit, and output queues to userInteractive QoS; this did not beat the corrected local-package best
161	ee46a75	25.00	discard	move source cadence and timing tracker recording to after pending-frame admission succeeds; this catastrophically regressed the corrected local-package run
162	1ef98b7	25.00	crash	prebuild staged source and cursor textures before entering the synchronous VideoToolbox queue; this crashed the corrected local-package runtime probe and was discarded
163	682c405	93.96	keep	double the high-refresh HEVC expected frame-rate and duration hints to 240 Hz on top of the corrected local-package staged direct-submit keep; this established the new best
164	b9962e5	69.64	discard	lower the HEVC low-latency average bitrate ceiling from 240 Mbps to 192 Mbps on top of the 240 Hz hint keep; this badly regressed the corrected local-package best
165	f16fb23	60.11	discard	set the HEVC max frame delay count to zero on top of the 240 Hz hint keep; this badly regressed the corrected local-package best
166	7678bd7	88.54	discard	increase the callback-only high-refresh SkyLight recommended pending-frame count by one slot on top of the 240 Hz hint keep; this regressed the corrected local-package best
167	9e2ee69	67.82	discard	reduce the callback-only high-refresh SkyLight recommended pending-frame count by one slot on top of the 240 Hz hint keep; this badly regressed the corrected local-package best
168	184d29b4	72.74	discard	stop treating capture processing queue saturation as a decoder reset or restart trigger in Lumen ingress; this removed recovery entirely and caused severe backlog-driven latency and startup regressions
169	fd674475	73.34	discard	gate saturation-triggered resync on repeated packet stalls in Lumen ingress; this still let startup backlog run away and did not recover HEVC progression
170	b7050537	81.97	discard	handle startup queue saturation by requesting a fresh IDR without flushing ingress state or restarting the session; this improved over fully disabling resets but still left startup backlog and regression versus the best
171	c1c56248	57.63	discard	lightly reset startup saturation backlog by flushing ingress and requesting a fresh startup IDR without a full decoder resync; this amplified startup drop churn and regressed far below the best
172	6c8042b2	89.79	discard	fast-forward startup ingress backlog toward the freshest queued recovery point while waiting for the first IDR packet; this removed drop churn and improved startup materially but still regressed the active best
173	9a36abd4	90.21	discard	combine startup backlog fast-forwarding with an immediate fresh IDR request when no queued recovery point survives; this substantially improved bring-up but still did not beat the active best
174	bc3d770f	89.58	discard	gate startup backlog fast-forwarding and fresh IDR requests behind observed startup queue pressure; this preserved the same bring-up pattern but still regressed the active best
175	7e7da337	90.21	discard	clamp the shared encoded ingress to a single startup frame and restore steady-state capacity after the first accepted packet; this matched the best Lumen-side startup latest-wins result but still trailed the active best
176	eb33378b	89.17	discard	clamp startup forwarding capacity in the bridge actor and restore steady-state capacity after the first encoded frame callback; this moved startup latest-wins earlier but restored too early to beat the active best
177	4b50d841	81.01	discard	keep the bridge startup forwarding clamp active until the first startup key frame arrives; this held startup latest-wins too long and regressed HEVC with new drop churn
178	c8dd54f8	65.38	discard	limit startup bridge forwarding clamp to high-refresh HEVC only and restore steady-state capacity after the first encoded frame; this still destabilized startup and regressed both codecs
179	16d3f383	88.96	discard	teach the shared encoded ingress to keep only the freshest startup frame until a recovery point is queued and to end startup mode when that recovery point is consumed; this improved startup latency but reduced early progression below the active best
180	ea3f97ee	89.17	discard	preserve a startup recovery point plus one following frame in the shared encoded ingress; this kept startup latency low but still did not recover enough early progression to beat the active best
181	5a1f3db7	90.00	discard	widen the shared-ingress startup recovery continuity window to the recovery point plus two following frames; this improved early progression but still did not beat the active best
182	a4dffa5	89.79	discard	defer SkyLight synthetic idle replay until the first encoded output callback; this removed startup duplicate churn but reduced HEVC and ProRes progression below the active best
183	46fcb69	89.79	discard	separate replay and recovery by forcing immediate keyframe requests to wait for fresh frames and never replay the last submitted frame through VT; this confirmed startup still lacks enough fresh early continuity to beat the active best
184	07bb47a	NA	crash	prioritize fresh frames over replay backlog by dropping replay admission whenever pending work exists; this build failed because the replay-origin metadata experiment had already been reverted from the baseline
185	4cb42be	89.38	discard	split fresh, replay, and recovery flow by tagging frame origin, keeping recovery bound to the last fresh frame, and making replay low-priority admission; this proved replay still carries too much early continuity to deprioritize without hurting startup
186	e72c92b+8a5102de	NA	crash	move continuity replay after encode and mark replay frames in Lumen ingress; the first build crashed because the MDK origin-tagging stack was incomplete
187	2bd5e62+b6319d82	NA	crash	continue the post-encode continuity replay experiment after restoring MDK origin tagging; the first retry still failed because bridge synthetic forwarding needed a default non-replay flag
188	2bd5e62+b6319d82	93.96	discard	move continuity replay after encode, tag replay frames through the bridge, and exempt replay-tagged duplicate payloads from recovery; this matched the active best but did not improve it
189	b06dbf8+b6319d82	93.75	discard	keep post-encode continuity replay but remove immediate encoder-side keyframe replay so recovery only latches the next fresh keyframe; this slightly reduced HEVC and ProRes progression below the active best
190	6fe808a	94.58	keep	separate recovery replay from continuity replay by tagging fresh versus replay frames, pinning immediate keyframe recovery to the freshest real frame, and suppressing duplicate recovery replays for the same fresh frame
191	dc01bb7	93.54	discard	gate immediate recovery replay on fresh-frame age so very recent fresh frames absorb the pending keyframe request instead of triggering a synthetic replay; this reduced HEVC and ProRes progression below the active best
192	44c0e154	93.96	discard	suppress redundant wait-for-IDR resets while an external keyframe request is already in flight so duplicate payload and saturation signals stop reflushing ingress state; this matched an older best but did not beat the current fresh-frame recovery replay keep
193	518dcb5	94.58	discard	route replay-origin frames through an actor-backed latest-wins mailbox so only fresh frames consume synchronous pending admission while replay drains when capacity returns; this matched the active best but did not improve it
194	c0137f6+e53b30c0	94.38	discard	move continuity replay after encode on top of the fresh-frame recovery split and mark replay duplicates in ingress so only fresh output and immediate recovery stay on the VideoToolbox path; this improved structure clarity but scored below the active best
195	1302e5f+2e013c52	94.58	discard	offload only synthetic timer replay after encode while keeping idle replay and fresh-frame recovery on the active-best VideoToolbox path; this matched the active best but did not improve it
196	ad6bc5a	90.42	discard	use only completed fresh output as the recovery replay source instead of the last submitted fresh frame; this delayed recovery too much and collapsed early HEVC and ProRes progression
197	6fc92d0	89.58	discard	apply MaxFrameDelayCount=0 only during high-refresh HEVC startup and restore the steady-state delay budget after the first output callback; this still collapsed early HEVC and ProRes progression below the active best
198	1cfd688	93.96	discard	apply a startup-only 360 Hz HEVC expected frame-rate and duration hint before the first successful output callback, then restore the steady-state 240 Hz hint after startup completes; this matched the older pacing-only HEVC gain but regressed versus the active fresh-frame recovery split
199	3c3de6f	93.54	discard	extend the startup-only 360 Hz HEVC expected frame-rate and duration hint across the first three successful output callbacks before restoring the steady-state 240 Hz hint; the longer startup pacing window reduced both HEVC and ProRes progression below the active best
200	110de85	90.42	discard	skip steady-state HEVC data-rate limits for the first three successful startup outputs and restore them afterward so early output is not clamped by the long-run bit budget; this sharply reduced both HEVC and ProRes progression and closed the startup data-rate split axis
201	453ae41	88.75	discard	let immediate recovery replay force a keyframe without consuming the pending next-fresh keyframe request so the next real fresh submission also stays recovery-ready; this caused excessive keyframe pressure and collapsed both HEVC and ProRes startup progression
202	7295278	88.54	discard	suppress synthetic recovery replay when a fresher real frame has already been submitted before the replay reaches the encode queue; even generation-accurate replay suppression collapsed startup continuity for both codecs
203	b0063b1	89.17	discard	run immediate recovery replay synchronously on the encode queue instead of deferring it asynchronously so recovery work lands earlier; prioritizing replay timing this way still hurt startup continuity and both codec scores
